¿œΩ√,AVG_TEMP,MAX_TEMP,MIN_TEMP,DIFF_TEMP
2021-01-01,-6.1,-0.3,-12,11.7
2021-01-02,-4.9,-0.7,-9,8.3
2021-01-03,-5.6,-1,-10.5,9.5
2021-01-04,-3.9,1.5,-11.2,12.7
2021-01-05,-3.8,-0.7,-8.9,8.2
2021-01-06,-7.4,-3.1,-13.7,10.6
2021-01-07,-12.6,-4,-15.1,11.1
2021-01-08,-13.6,-9.9,-17.8,7.9
2021-01-09,-12.4,-7.5,-18.4,10.9
2021-01-10,-9.6,-3.7,-16.9,13.2
2021-01-11,-8.8,-4.5,-12.8,8.3
2021-01-12,-5.4,0.9,-13.2,14.1
2021-01-13,2.2,8.5,-5.4,13.9
2021-01-14,1,7.4,-4.1,11.5
2021-01-15,4.4,11.5,-2.9,14.4
2021-01-16,-2.3,2.2,-5.7,7.9
2021-01-17,-5,-1.5,-10.1,8.6
2021-01-18,-3.1,0.8,-6.7,7.5
2021-01-19,-6.9,-1.2,-12.5,11.3
2021-01-20,-3.4,6.2,-10.6,16.8
2021-01-21,2.6,7.8,-3.8,11.6
2021-01-22,5.5,8.1,3.2,4.9
2021-01-23,6,13,0.5,12.5
2021-01-24,4.7,12.4,-1.1,13.5
2021-01-25,4.5,13.8,-1.1,14.9
2021-01-26,4.3,6.2,2.2,4
2021-01-27,2.3,6.6,-1.2,7.8
2021-01-28,-2.2,4.1,-7.7,11.8
2021-01-29,-7.3,-3.6,-10.8,7.2
2021-01-30,-4.3,3.2,-9.4,12.6
2021-01-31,0.6,9.7,-7.6,17.3
2021-02-01,5,10.2,1.6,8.6
2021-02-02,-3.6,2.3,-5.9,8.2
2021-02-03,-3.1,1.2,-9.2,10.4
2021-02-04,-2.4,0.2,-5.4,5.6
2021-02-05,-0.1,5.6,-4.4,10
2021-02-06,5,10.2,-1.4,11.6
2021-02-07,5.7,10.3,0.3,10
2021-02-08,-1.7,1,-4.4,5.4
2021-02-09,-1.1,4.6,-6.5,11.1
2021-02-10,1.7,6.1,-2.9,9
2021-02-11,4.1,10.9,-1.8,12.7
2021-02-12,5.2,13.7,-1.3,15
2021-02-13,5.7,15.7,-1.9,17.6
2021-02-14,8.4,14.2,3,11.2
2021-02-15,2.6,8.4,-3.7,12.1
2021-02-16,-4.6,-2.8,-6.4,3.6
2021-02-17,-7.4,-4.5,-9.6,5.1
2021-02-18,-6,-1.7,-10,8.3
2021-02-19,0,8,-9.2,17.2
2021-02-20,8.4,14.7,2.6,12.1
2021-02-21,10,20.4,-0.2,20.6
2021-02-22,8.8,16.1,3,13.1
2021-02-23,1.9,6.4,-1.2,7.6
2021-02-24,2.7,10.4,-3,13.4
2021-02-25,3.5,8.5,-1.3,9.8
2021-02-26,6.4,14.8,-1.8,16.6
2021-02-27,6.9,13.7,-0.1,13.8
2021-02-28,7.3,14.1,-1.1,15.2
2021-03-01,5.4,12.3,0.5,11.8
2021-03-02,1.9,5.7,-0.3,6
2021-03-03,2.9,8.9,-3,11.9
2021-03-04,4.8,10.4,-0.1,10.5
2021-03-05,7.9,16.4,-0.2,16.6
2021-03-06,5.7,9.2,3.3,5.9
2021-03-07,6.1,11,1.1,9.9
2021-03-08,6.4,13.9,-0.1,14
2021-03-09,6.7,13.1,0.4,12.7
2021-03-10,7.8,16.7,-0.1,16.8
2021-03-11,9.7,17.4,1.6,15.8
2021-03-12,9.5,11.3,8,3.3
2021-03-13,9,14.7,2.6,12.1
2021-03-14,9,13.1,5.7,7.4
2021-03-15,10.2,16.5,2.7,13.8
2021-03-16,10.3,15.7,5.4,10.3
2021-03-17,8.9,17.3,1.3,16
2021-03-18,11.5,18.3,2.8,15.5
2021-03-19,14.4,19.6,10.8,8.8
2021-03-20,9.7,12.8,7.8,5
2021-03-21,6.5,9.5,4.8,4.7
2021-03-22,6.3,11.1,1.7,9.4
2021-03-23,8.8,16.9,0.6,16.3
2021-03-24,10.1,16.4,2.7,13.7
2021-03-25,12.1,19.1,5,14.1
2021-03-26,12.9,21,4.6,16.4
2021-03-27,12.8,17.8,7.9,9.9
2021-03-28,10.6,15,8.9,6.1
2021-03-29,11.2,16.2,7.7,8.5
2021-03-30,11.1,18.6,2.6,16
2021-03-31,13.5,22.9,4,18.9
2021-04-01,15.7,22.5,7.6,14.9
2021-04-02,17.5,24.2,9.9,14.3
2021-04-03,15,19.1,10.4,8.7
2021-04-04,10.2,13.7,6.2,7.5
2021-04-05,10.4,17.8,2.2,15.6
2021-04-06,13.4,20.5,6.5,14
2021-04-07,13.6,20.6,6.2,14.4
2021-04-08,12.3,18.6,5.5,13.1
2021-04-09,11.1,17.5,4.7,12.8
2021-04-10,11.9,18.2,4.5,13.7
2021-04-11,14.2,21.5,5.7,15.8
2021-04-12,14.2,17.2,12.3,4.9
2021-04-13,11.6,15.9,6.5,9.4
2021-04-14,9.1,15.6,3.6,12
2021-04-15,10.8,18.6,3.4,15.2
2021-04-16,11.1,14.1,7,7.1
2021-04-17,8.5,14.4,4.7,9.7
2021-04-18,9.8,15.8,4.5,11.3
2021-04-19,12.8,20.6,4,16.6
2021-04-20,15.6,23.9,6.6,17.3
2021-04-21,19,28.4,9.1,19.3
2021-04-22,21.5,28.7,14.4,14.3
2021-04-23,18.7,21.2,16,5.2
2021-04-24,17.2,23.3,12.8,10.5
2021-04-25,16.4,21.9,9.7,12.2
2021-04-26,15.5,21.5,8,13.5
2021-04-27,15.2,19.5,10.3,9.2
2021-04-28,15.8,20.7,12.5,8.2
2021-04-29,13.7,17.9,9.3,8.6
2021-04-30,10.7,13.1,8,5.1
2021-05-01,9.5,11.2,7.9,3.3
2021-05-02,12.2,18.5,7.2,11.3
2021-05-03,13.9,20.6,6.4,14.2
2021-05-04,14.8,20.8,10.1,10.7
2021-05-05,14.6,19.4,9,10.4
2021-05-06,14.7,22.7,5.4,17.3
2021-05-07,14,19.1,9.2,9.9
2021-05-08,14.8,22.2,7.5,14.7
2021-05-09,15.7,21.7,9.2,12.5
2021-05-10,11.5,13.2,9.2,4
2021-05-11,17.2,25.6,7.9,17.7
2021-05-12,19.4,26.7,12,14.7
2021-05-13,21.3,29.3,12.8,16.5
2021-05-14,23,29.2,15.9,13.3
2021-05-15,21.5,23.4,19.5,3.9
2021-05-16,18.4,21.9,13.8,8.1
2021-05-17,15,17,12.9,4.1
2021-05-18,17.4,22.9,13.4,9.5
2021-05-19,19.5,26.3,12.4,13.9
2021-05-20,18.4,23,14.5,8.5
2021-05-21,15.4,18,12.8,5.2
2021-05-22,18.2,25,12.6,12.4
2021-05-23,19.7,25.5,12.8,12.7
2021-05-24,19.5,24.8,15.4,9.4
2021-05-25,14.4,19.1,11.3,7.8
2021-05-26,16.3,23.2,8.5,14.7
2021-05-27,15.1,18.7,13.2,5.5
2021-05-28,14.2,18.2,11.6,6.6
2021-05-29,15.7,20.7,12.2,8.5
2021-05-30,17.8,26.1,10.4,15.7
2021-05-31,19.4,24,15.5,8.5
2021-06-01,21,25.5,16.8,8.7
2021-06-02,23.1,29.3,15.7,13.6
2021-06-03,19.1,23.5,16.1,7.4
2021-06-04,18,24.3,13.3,11
2021-06-05,19.4,26,13.1,12.9
2021-06-06,21.5,27.3,15.1,12.2
2021-06-07,20.5,24.1,16.6,7.5
2021-06-08,23.1,29.4,17.3,12.1
2021-06-09,24.8,31.8,17.5,14.3
2021-06-10,24.9,31,19.5,11.5
2021-06-11,22.3,25.4,19.9,5.5
2021-06-12,23.6,30.3,17.6,12.7
2021-06-13,25.5,30.5,19.9,10.6
2021-06-14,25.1,30.5,20.4,10.1
2021-06-15,23.1,24.8,21.3,3.5
2021-06-16,22.3,26.8,18.3,8.5
2021-06-17,20.7,24.4,16.8,7.6
2021-06-18,20.7,22.9,19.3,3.6
2021-06-19,22.7,27.6,18.2,9.4
2021-06-20,23.6,29.2,16.7,12.5
2021-06-21,22.7,28.1,19.4,8.7
2021-06-22,21.6,28.2,16.7,11.5
2021-06-23,19.7,24.8,17.5,7.3
2021-06-24,22.4,28,16.3,11.7
2021-06-25,24.1,29.1,19,10.1
2021-06-26,20.5,23,18,5
2021-06-27,23.5,28.9,18.4,10.5
2021-06-28,23.2,27.4,20.6,6.8
2021-06-29,23.2,28.8,20,8.8
2021-06-30,23,29.2,20.1,9.1
2021-07-01,25,31.3,19,12.3
2021-07-02,24.6,29.9,21.1,8.8
2021-07-03,22,26.2,19.7,6.5
2021-07-04,22.1,23.9,20,3.9
2021-07-05,22.6,26.2,19.4,6.8
2021-07-06,24.8,29.2,20,9.2
2021-07-07,25.3,28.4,21.9,6.5
2021-07-08,25.7,30.6,21.7,8.9
2021-07-09,24.4,29.5,21.3,8.2
2021-07-10,23.9,29.3,22,7.3
2021-07-11,23.7,26.9,21.7,5.2
2021-07-12,26.2,32,21.3,10.7
2021-07-13,28.4,33.7,23.6,10.1
2021-07-14,28.9,33.8,24.4,9.4
2021-07-15,26.7,32.4,23.5,8.9
2021-07-16,26.3,32.9,21.9,11
2021-07-17,26.7,31.8,21.8,10
2021-07-18,27.3,32.2,22.5,9.7
2021-07-19,26.9,31.7,23.4,8.3
2021-07-20,27.2,32.2,23.3,8.9
2021-07-21,28.6,35,23.1,11.9
2021-07-22,29,35.3,22.7,12.6
2021-07-23,29.2,35.1,23.5,11.6
2021-07-24,29.2,35.6,24.1,11.5
2021-07-25,29.1,34.7,23.2,11.5
2021-07-26,29.1,33.9,23.9,10
2021-07-27,28.6,34.3,24.7,9.6
2021-07-28,28.4,33.5,23.2,10.3
2021-07-29,28.6,33.1,24.7,8.4
2021-07-30,29.3,34.5,24.9,9.6
2021-07-31,29.5,34.3,25.7,8.6
2021-08-01,26.6,32.5,23.4,9.1
2021-08-02,25.8,29.1,23.9,5.2
2021-08-03,26.7,32.5,23.5,9
2021-08-04,28.3,33,24.3,8.7
2021-08-05,28.8,33.6,24.7,8.9
2021-08-06,27.3,34.5,23.3,11.2
2021-08-07,26.8,31.8,22.7,9.1
2021-08-08,25.8,30.2,23.5,6.7
2021-08-09,26.6,31.4,23.2,8.2
2021-08-10,25.1,29,21.2,7.8
2021-08-11,26.2,31.3,22.1,9.2
2021-08-12,25.8,30.2,22.1,8.1
2021-08-13,25.5,28.9,22.6,6.3
2021-08-14,23.9,28.4,20.8,7.6
2021-08-15,24.2,30,18.7,11.3
2021-08-16,24.8,29.9,19.8,10.1
2021-08-17,23.8,28.5,19.9,8.6
2021-08-18,22.7,28,18.9,9.1
2021-08-19,23,29,18.3,10.7
2021-08-20,25.6,30.3,20,10.3
2021-08-21,24.6,28.3,21.7,6.6
2021-08-22,24.1,26.8,21.7,5.1
2021-08-23,21.1,22.6,19.6,3
2021-08-24,23.9,28.1,20.4,7.7
2021-08-25,23.5,25.5,22,3.5
2021-08-26,24,28.2,20.3,7.9
2021-08-27,21.3,25.1,18.9,6.2
2021-08-28,22,26.5,18.4,8.1
2021-08-29,22.2,26.5,19.6,6.9
2021-08-30,22.1,26.3,19.5,6.8
2021-08-31,20,23.1,17.5,5.6
2021-09-01,20,21.7,18.4,3.3
2021-09-02,22,25.8,18.7,7.1
2021-09-03,22.2,27.8,17.4,10.4
2021-09-04,20.9,26.9,15.5,11.4
2021-09-05,21,27.2,15.2,12
2021-09-06,21.1,26,16.5,9.5
2021-09-07,20.1,21.2,17.7,3.5
2021-09-08,21.6,26.4,19,7.4
2021-09-09,21.7,27.2,17.4,9.8
2021-09-10,22.3,27.6,17.5,10.1
2021-09-11,22.8,28.2,18.4,9.8
2021-09-12,23,28.9,17.9,11
2021-09-13,23.5,28.8,19.8,9
2021-09-14,21.8,27.4,17.6,9.8
2021-09-15,21.1,27.8,15.7,12.1
2021-09-16,21.2,26.5,14.6,11.9
2021-09-17,20.3,24.4,16.4,8
2021-09-18,21,27.3,15.3,12
2021-09-19,21.3,26.3,16.8,9.5
2021-09-20,22.3,27.5,16,11.5
2021-09-21,21.3,24.2,19.5,4.7
2021-09-22,20.1,24.8,16.8,8
2021-09-23,19.7,23.4,16.9,6.5
2021-09-24,20.2,26.5,15.3,11.2
2021-09-25,19.8,23.2,15.9,7.3
2021-09-26,20.4,25.3,16,9.3
2021-09-27,19.8,25.1,15,10.1
2021-09-28,21,25.3,17,8.3
2021-09-29,20.4,22,18.7,3.3
2021-09-30,20.5,26.3,17,9.3
2021-10-01,20.3,26.5,16,10.5
2021-10-02,19,24.4,15.7,8.7
2021-10-03,20.1,28.6,14.2,14.4
2021-10-04,21.7,26.2,15.6,10.6
2021-10-05,23.9,27.3,21.5,5.8
2021-10-06,19.4,22.1,17.6,4.5
2021-10-07,19.3,21.3,17.4,3.9
2021-10-08,19.4,21.1,18.5,2.6
2021-10-09,20.8,25.7,17.9,7.8
2021-10-10,20.6,26.5,15.9,10.6
2021-10-11,16,18.6,13.6,5
2021-10-12,17.1,18.8,15.3,3.5
2021-10-13,18.4,24.3,12.9,11.4
2021-10-14,18.4,22.7,15,7.7
2021-10-15,17.2,18.9,15.6,3.3
2021-10-16,12,16.3,4.6,11.7
2021-10-17,5.2,10.3,1,9.3
2021-10-18,8,15.4,0.7,14.7
2021-10-19,9.7,13.9,6.4,7.5
2021-10-20,8.1,14.6,4.3,10.3
2021-10-21,8.5,14.9,2.5,12.4
2021-10-22,9,16.4,3.5,12.9
2021-10-23,9.3,16.7,3.5,13.2
2021-10-24,9,16.4,3.1,13.3
2021-10-25,9.5,16.7,3.9,12.8
2021-10-26,10,16.7,4.1,12.6
2021-10-27,11.7,18.3,7.3,11
2021-10-28,10.2,18.3,3.6,14.7
2021-10-29,12,19.1,5.8,13.3
2021-10-30,11.4,17.2,7.3,9.9
2021-10-31,12,18.4,6.7,11.7
2021-11-01,12,16.6,8.4,8.2
2021-11-02,10.2,15.9,5.3,10.6
2021-11-03,11.1,16.4,7.7,8.7
2021-11-04,10.6,16.7,5.6,11.1
2021-11-05,10.5,19.2,4.9,14.3
2021-11-06,12.1,20.8,5,15.8
2021-11-07,13.1,20.4,6.1,14.3
2021-11-08,10,17.1,4.9,12.2
2021-11-09,4.8,5.9,3.2,2.7
2021-11-10,4.4,6.7,1,5.7
2021-11-11,5.7,8.7,1.8,6.9
2021-11-12,4.5,8.7,1.1,7.6
2021-11-13,5.7,12.3,-1.2,13.5
2021-11-14,9.3,14.8,4.4,10.4
2021-11-15,7.8,14.6,2.8,11.8
2021-11-16,7,13.7,1.9,11.8
2021-11-17,6,12.2,0.6,11.6
2021-11-18,10.2,15.3,4.1,11.2
2021-11-19,12.6,16.2,9.2,7
2021-11-20,10,15.4,7.1,8.3
2021-11-21,9.5,13.7,5.9,7.8
2021-11-22,4.1,12.8,0.4,12.4
2021-11-23,0.5,2.1,-1.9,4
2021-11-24,3.2,7.2,-1.5,8.7
2021-11-25,5.1,10.3,0.9,9.4
2021-11-26,2.9,8.1,-1.5,9.6
2021-11-27,1.8,8.7,-3.2,11.9
2021-11-28,3.2,11.3,-3.5,14.8
2021-11-29,4.9,12.7,-1.2,13.9
2021-11-30,4.8,9.4,1.7,7.7
2021-12-01,-0.5,1.7,-2.9,4.6
2021-12-02,0.7,5.5,-6.3,11.8
2021-12-03,3.1,5.5,-0.7,6.2
2021-12-04,0.6,6.5,-4.6,11.1
2021-12-05,1.4,9.2,-4.2,13.4
2021-12-06,3.3,12,-2.7,14.7
2021-12-07,4.7,11.4,-0.5,11.9
