,HGTPOJ_ACDNT_OCRN_CNT,HGTPOJ_ACDNT_OCRN_CNT,HGTPOJ_ACDNT_OCRN_CNT,HGTPOJ_ACDNT_OCRN_CNT,HGTPOJ_ACDNT_OCRN_CNT,HGTPOJ_ACDNT_OCRN_CNT,HGTPOJ_ACDNT_OCRN_CNT,HGTPOJ_ACDNT_OCRN_CNT,PNTRINJ_OCRN_CNT,PNTRINJ_OCRN_CNT,PNTRINJ_OCRN_CNT,PNTRINJ_OCRN_CNT,PNTRINJ_OCRN_CNT,PNTRINJ_OCRN_CNT,PNTRINJ_OCRN_CNT,PNTRINJ_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,ETC_OCRN_CNT,ETC_OCRN_CNT,ETC_OCRN_CNT,ETC_OCRN_CNT,ETC_OCRN_CNT,ETC_OCRN_CNT,ETC_OCRN_CNT,ETC_OCRN_CNT,BLTRM_OCRN_CNT,BLTRM_OCRN_CNT,BLTRM_OCRN_CNT,BLTRM_OCRN_CNT,BLTRM_OCRN_CNT,BLTRM_OCRN_CNT,BLTRM_OCRN_CNT,BLTRM_OCRN_CNT,ACDNT_INJ_OCRN_CNT,ACDNT_INJ_OCRN_CNT,ACDNT_INJ_OCRN_CNT,ACDNT_INJ_OCRN_CNT,ACDNT_INJ_OCRN_CNT,ACDNT_INJ_OCRN_CNT,ACDNT_INJ_OCRN_CNT,ACDNT_INJ_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,VHC_ACDNT_OCRN_CNT,VHC_ACDNT_OCRN_CNT,VHC_ACDNT_OCRN_CNT,VHC_ACDNT_OCRN_CNT,VHC_ACDNT_OCRN_CNT,VHC_ACDNT_OCRN_CNT,VHC_ACDNT_OCRN_CNT,VHC_ACDNT_OCRN_CNT,HRFAF_OCRN_CNT,HRFAF_OCRN_CNT,HRFAF_OCRN_CNT,HRFAF_OCRN_CNT,HRFAF_OCRN_CNT,HRFAF_OCRN_CNT,HRFAF_OCRN_CNT,HRFAF_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,AGRCMCHN_ACDNT_OCRN_CNT,DRKNSTAT_OCRN_CNT,DRKNSTAT_OCRN_CNT,DRKNSTAT_OCRN_CNT,DRKNSTAT_OCRN_CNT,DRKNSTAT_OCRN_CNT,DRKNSTAT_OCRN_CNT,DRKNSTAT_OCRN_CNT,DRKNSTAT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,UNKNWN_OCRN_CNT,UNKNWN_OCRN_CNT,UNKNWN_OCRN_CNT,UNKNWN_OCRN_CNT,UNKNWN_OCRN_CNT,UNKNWN_OCRN_CNT,UNKNWN_OCRN_CNT,UNKNWN_OCRN_CNT,PDST_ACDNT_OCRN_CNT,PDST_ACDNT_OCRN_CNT,PDST_ACDNT_OCRN_CNT,PDST_ACDNT_OCRN_CNT,PDST_ACDNT_OCRN_CNT,PDST_ACDNT_OCRN_CNT,PDST_ACDNT_OCRN_CNT,PDST_ACDNT_OCRN_CNT,LACRTWND_OCRN_CNT,LACRTWND_OCRN_CNT,LACRTWND_OCRN_CNT,LACRTWND_OCRN_CNT,LACRTWND_OCRN_CNT,LACRTWND_OCRN_CNT,LACRTWND_OCRN_CNT,LACRTWND_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,THML_DAMG_OCRN_CNT,THML_DAMG_OCRN_CNT,THML_DAMG_OCRN_CNT,THML_DAMG_OCRN_CNT,THML_DAMG_OCRN_CNT,THML_DAMG_OCRN_CNT,THML_DAMG_OCRN_CNT,THML_DAMG_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRWNG_OCRN_CNT,DRWNG_OCRN_CNT,DRWNG_OCRN_CNT,DRWNG_OCRN_CNT,DRWNG_OCRN_CNT,DRWNG_OCRN_CNT,DRWNG_OCRN_CNT,DRWNG_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,POSNG_OCRN_CNT,POSNG_OCRN_CNT,POSNG_OCRN_CNT,POSNG_OCRN_CNT,POSNG_OCRN_CNT,POSNG_OCRN_CNT,POSNG_OCRN_CNT,POSNG_OCRN_CNT,ASPHYXIA_OCRN_CNT,ASPHYXIA_OCRN_CNT,ASPHYXIA_OCRN_CNT,ASPHYXIA_OCRN_CNT,ASPHYXIA_OCRN_CNT,ASPHYXIA_OCRN_CNT,ASPHYXIA_OCRN_CNT,ASPHYXIA_OCRN_CNT,FALLING_OCRN_CNT,FALLING_OCRN_CNT,FALLING_OCRN_CNT,FALLING_OCRN_CNT,FALLING_OCRN_CNT,FALLING_OCRN_CNT,FALLING_OCRN_CNT,FALLING_OCRN_CNT,FLAME_OCRN_CNT,FLAME_OCRN_CNT,FLAME_OCRN_CNT,FLAME_OCRN_CNT,FLAME_OCRN_CNT,FLAME_OCRN_CNT,FLAME_OCRN_CNT,FLAME_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,CHMC_SBSTNC_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,WETHR_ACDNT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,SXAL_ASALT_OCRN_CNT,BURN_OCRN_CNT,BURN_OCRN_CNT,BURN_OCRN_CNT,BURN_OCRN_CNT,BURN_OCRN_CNT,BURN_OCRN_CNT,BURN_OCRN_CNT,BURN_OCRN_CNT
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
GRID_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378509,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378511,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378512,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378513,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378514,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0028328611898017,0.05322462954123534,0.0,0.0,0.0,0.0,1.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378520,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378521,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379506,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
